-1,21,-1,-1,-1,-1,-1,374,-1,-1,340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,-1,383,-1,-1,-1,-1,-1,-1,-1,-1,362,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,383,-1,-1,384,-1,-1,-1,-1,-1,-1,359,367,-1,340,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,340,-1,-1,-1,-1,347,-1
-1,-1,384,21,-1,-1,-1,-1,-1,-1,-1,-1,354,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,356,359,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,359,-1,355,-1,-1,-1,-1,-1
374,-1,-1,-1,-1,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,26,-1,-1,-1,-1,-1,-1,-1,176,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,24,26,-1,168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
340,-1,-1,-1,-1,-1,-1,-1,-1,168,-1,-1,-1,21,-1,-1,-1,100,-1,-1,-1,-1
-1,362,359,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,367,-1,354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,356,-1,-1,-1,-1,21,-1,-1,-1,385,-1,-1,-1,-1,-1,-1,-1
-1,-1,340,-1,-1,359,359,-1,-1,-1,-1,-1,-1,385,-1,-1,384,-1,-1,-1,-1,106
-1,-1,-1,340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,89,-1,-1,-1
-1,-1,-1,-1,-1,-1,355,-1,-1,-1,-1,-1,-1,-1,384,21,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,176,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,406
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,89,-1,-1,-1,32,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,379
-1,-1,-1,347,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,106,-1,-1,406,-1,379,-1,-1
